16:14:31.193 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
16:14:31.236 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
16:14:31.243 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 14.33 seconds (JVM running for 18.575)
16:18:45.280 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:18:45.712 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:18:45.861 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:18:56.292 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:21:32.857 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 116 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:21:32.868 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:21:35.707 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
16:21:35.726 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
16:21:35.727 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:21:35.727 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:21:36.042 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:21:36.042 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2900 ms
16:21:36.762 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:21:37.284 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
16:21:44.244 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
16:21:44.251 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
16:21:44.301 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
16:21:44.307 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 12.985 seconds (JVM running for 16.179)
16:21:52.831 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:21:53.255 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:21:53.441 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:22:02.862 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
