16:29:26.239 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:29:05 CST 2020, failCount=3, syncMsg=中央数据库端发生异常, infoNode=null)
16:29:27.237 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:29:37.240 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:29:05 CST 2020, failCount=3, syncMsg=中央数据库端发生异常, infoNode=null)
16:29:38.241 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:29:48.244 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:29:05 CST 2020, failCount=3, syncMsg=中央数据库端发生异常, infoNode=null)
16:29:49.248 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:29:53.254 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:29:59.285 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:29:52 CST 2020, failCount=4, syncMsg=中央数据库端发生异常, infoNode=null)
16:30:00.255 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:30:00.263 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:33:50.426 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=1, successTime=null, failTime=Wed May 20 16:29:59 CST 2020, failCount=0, syncMsg=中央数据库端发生异常, infoNode=null)
16:33:51.398 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:33:55.403 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:34:01.401 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:33:54 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:34:02.407 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:34:02.412 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:34:12.410 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:34:02 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
